model,score,timestep,number_of_edges_pos,number_of_edges_neg,test_agg,duplicate_edges,predictor,loss_func,method
GraphConv,0.6695501730103807,129200,34,34,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6574141709276845,129220,37,37,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6849173553719008,129240,44,44,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6815193571950329,129260,37,37,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6625273922571221,129280,37,37,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6430696014277216,129300,41,41,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.584375,129320,40,40,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6594345825115056,129340,39,39,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7749307479224377,129360,38,38,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.620525931336742,129380,37,37,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6337809917355373,129400,44,44,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.669921875,129420,48,48,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7360537190082643,129440,44,44,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7250692520775623,129460,38,38,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.625,129480,40,40,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.68115234375,129500,32,32,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7266666666666667,129520,30,30,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6989795918367346,129540,28,28,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6382001836547291,129560,33,33,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6760204081632654,129580,28,28,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7309458218549126,129600,33,33,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.611328125,129620,32,32,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6432,129640,25,25,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6655555555555556,129660,30,30,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6559546313799621,129680,46,46,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.5817263544536272,129700,33,33,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.5792549306062819,129720,37,37,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7640603566529492,129740,27,27,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6822222222222223,129760,30,30,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.53125,129780,32,32,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6784599375650363,129800,31,31,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6677551020408163,129820,35,35,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7158509861212564,129840,37,37,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6782407407407407,129860,36,36,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6007653061224489,129880,28,28,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6556473829201102,129900,33,33,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7762345679012346,129920,36,36,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7079889807162535,129940,33,33,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.5927734375,129960,32,32,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7144970414201184,129980,26,26,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.5876951331496786,130000,33,33,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.672216441207076,130020,31,31,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7627471383975026,130040,31,31,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.607421875,130060,32,32,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6074380165289257,130080,33,33,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6168947055324212,130100,41,41,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6063239644970413,130120,52,52,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7359433569346105,130140,49,49,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7265625,130160,32,32,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.8222222222222223,130180,30,30,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.783179012345679,130200,36,36,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7655555555555555,130220,30,30,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7807017543859649,130240,39,38,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.701171875,130260,32,32,False,True,dotProduct,BCEWithLogits,agg_simp
